ID,Category,Sub-Category,Role(s),Decision / Scenario,What the User Does,Risk,Freq,MITRE ATT&CK,Atomic Red Team / Caldera Test,Static Control Today,Why Static Fails,Coach Intervention,Coach Replace?,Deploy Surface,Third-Party Systems for Test,Testbed Simulation Steps,Test Data / Fixtures,Success Metric,Priority
33,Secret Exposure,Store credentials on endpoint,"Developer, All","Keep passwords.txt, .env with prod creds, SSH keys without passphrase on laptop","Has passwords.txt on Desktop, .env files with prod creds in project dirs",HIGH,Persistent,"T1552.001 (Unsecured Credentials in Files)
T1552.004 (Private Keys)
T1005 (Data from Local System)","Atomic: T1552.001 (find credentials: findstr, grep, Get-ChildItem)
Atomic: T1552.004 (copy SSH private keys)
Atomic: T1005 (stage data from local system)
Caldera: Find Files + Credential Harvest abilities",EDR (limited),"EDR scans for malware, not secret content in user files",Periodic scan: 'Found 3 files with creds on Desktop. Move to password manager?' One-click migration,YES,Desktop Agent,1Password / Bitwarden (test vault),"1. Create: passwords.txt, .env, id_rsa (no passphrase) on Desktop
2. Run agent scan
3. Verify secret detection per file type
4. Test migration workflow
5. Clean files test (should pass)","passwords.txt (DB creds), .env (API keys), id_rsa (no passphrase). 1Password/Bitwarden test vault","≥95% secret detection in local files, migration completes successfully",P1
34,Secret Exposure,Expose secrets in CI/CD logs,"DevOps, Developer","Print env vars in debug logs, store secrets in pipeline YAML without vault refs",GitHub Actions echoes $DATABASE_URL in debug step; secrets in build logs,CRITICAL,5-10x/week,"T1552.001 (Unsecured Credentials)
T1059 (Command/Script Interpreter)","Atomic: T1552.001 (credential search in files/logs)
Custom: GitHub Actions YAML secret exposure scan
Caldera: Custom ability — CI/CD config audit",Pipeline scanning (partial),Scans configs but not runtime logs; debug mode bypasses masking,Pre-push: 'Workflow exposes DATABASE_URL in logs. Use secret masking?',PARTIAL,Browser Ext (GitHub) + IDE,GitHub Actions (free tier),"1. Create workflow YAML with echo $SECRET
2. Push
3. Verify extension flags secret in YAML
4. Check runtime log scan
5. Properly masked secrets test (should pass)",GitHub repo + Actions. Workflow: echo $DATABASE_URL vs ${{ secrets.DB_URL }},"≥90% secret exposure in YAML, pre-push warning before secrets in CI/CD logs",P1
35,Untrusted SW,Install risky browser extension,All roles,Install Chrome extension with broad permissions from unknown publisher,Installs AI helper requesting 'Read all data on all websites' from unknown dev,CRITICAL,10-20x/week,"T1176 (Browser Extensions)
T1059.007 (JavaScript)","Atomic: T1176 (Browser Extensions — install malicious extension)
Caldera: Custom ability — install test extension via chrome CLI
Custom: Extension risk scoring test",Chrome Enterprise Policy,Allowlist blocks known-bad but can't evaluate new/unknown; personal profiles bypass,At install: 'Reads all browser data. No privacy policy. Risk: session hijack. Block or review?',YES,Browser Extension,Chrome Web Store (test extension),"1. Navigate to Chrome Web Store
2. Find extension: broad permissions, low trust
3. Click 'Add to Chrome'
4. Verify risk assessment
5. Approved extension test (should pass)","Extensions: (a) unknown publisher, broad perms, low downloads, (b) approved corporate extension","≥90% correct risk assessment, approved extensions pass silently",P0
36,Untrusted SW,Shadow SaaS with OAuth,All roles,"Sign up for unapproved SaaS with corporate email, grant OAuth access",Clicks 'Sign in with Google' granting Drive + Gmail + Calendar read,HIGH,20-50x/week,"T1550.001 (Use Alternate Auth: App Access Token)
T1528 (Steal Application Access Token)","Atomic: T1528 (Steal App Access Token)
Custom: OAuth consent interception + scope analysis test
Caldera: Custom ability — enumerate OAuth tokens",CASB (discovery),Discovers post-signup; alert weeks later; no intervention at consent moment,At OAuth: 'This app requests Drive+Gmail read. Not approved. Request IT review or limit scope?',YES,Browser Extension,Test OAuth app (Google Cloud Console) or shadow SaaS,"1. Create test OAuth app requesting Drive+Gmail+Calendar
2. Click 'Sign in with Google'
3. Verify extension intercepts consent screen
4. Check scope analysis
5. Approved corp app test (should pass)",Test OAuth app via Google Cloud Console. Corporate app allowlist JSON. Approved app for FP testing,"≥95% OAuth consent interception, correct scope risk assessment",P0
37,Untrusted SW,Install risky IDE extension,Developer,Install VS Code extension with fs + network access from unknown publisher,"Installs theme/formatter: 200 downloads, no source, full fs+net access",HIGH,5-15x/week,T1195.002 (Supply Chain: Compromise Software Supply Chain),"Custom: VS Code marketplace risk scoring test
No standard Atomic for IDE extensions
Caldera: Custom ability — enumerate IDE extensions + permissions",None,No tool governs IDE extension install; VS Code marketplace minimal vetting,"At install: '200 downloads, no source, fs+net access. Supply chain risk. Safer alternatives?'",YES,IDE Plugin,VS Code (free),"1. Open VS Code Extensions
2. Find: low downloads, broad permissions
3. Click Install
4. Verify risk assessment
5. Popular extension test (should pass)","Extensions: (a) low-download + fs/net, (b) popular (Prettier, ESLint). Marketplace API","≥85% risk assessment, safe alternatives for ≥70% flagged",P1
38,Untrusted SW,Install typosquatted package,Developer,npm/pip install with typosquatted name mimicking popular library,Types 'npm install reqeusts' (typo of 'requests') or similar typosquat,CRITICAL,Constant,"T1195.002 (Supply Chain Compromise)
T1204.002 (User Execution: Malicious File)","Atomic: T1195.002 (Supply Chain Compromise)
Custom: Package name similarity scoring + registry metadata check
Caldera: Custom supply chain detection abilities",SCA (post-install),SCA runs after code committed; package already installed + postinstall executed,"Pre-install: 'Did you mean ""requests"" (50M downloads)? ""reqeusts"" has 23, published yesterday.'",YES,IDE Plugin + CLI Hook,npm/PyPI (public registries),"1. Open terminal in project
2. npm install <typosquat-name>
3. Verify CLI hook intercepts pre-install
4. Check name similarity score
5. Legitimate package test (should pass)",Known typosquatting examples. Legitimate name DB. npm/pip CLI hook script,"≥95% typosquatting detection, blocked before postinstall scripts",P1
39,Access Mgmt,Rubber-stamp access review,All roles,Click 'Approve All' on quarterly access review without evaluating,Approves all 15 systems including 8 unused in 6+ months,HIGH,Quarterly,"T1078 (Valid Accounts)
T1098 (Account Manipulation)","Atomic: T1078 (Valid Accounts — use stale creds)
Atomic: T1098 (Account Manipulation — add/modify accounts)
Caldera: Privilege discovery abilities
Custom: Access review enrichment test",IGA/IAM (checkbox),95%+ approval rate; no context; users can't evaluate,'System X: not accessed 90 days. 80% peers don't have this. Remove?' Usage data per right,YES,Browser Ext + Slack Bot,Okta/Azure AD (test tenant) or mock IGA UI,"1. Mock access review with 15 systems
2. Inject usage data: 8 unused >90 days
3. Present with vs without coach enrichment
4. Measure approval rate difference","Mock IGA page. Usage data: 15 systems + last_access, peer_%, risk_level. Okta test tenant optional","Rubber-stamp drops from >90% to <60%, review <2min/item with enrichment",P0
40,Access Mgmt,Over-provision new hire,Manager,Give new hire same access as senior 'to get them started',Gives junior (week 1) same access as senior (year 3) including prod+admin,HIGH,5-10x/week,"T1098 (Account Manipulation)
T1078.004 (Cloud Accounts)","Atomic: T1098 (Account Manipulation — add user to group)
Atomic: T1078.004 (Cloud Accounts — create privileged cloud user)
Caldera: Account creation + privilege escalation abilities",RBAC (misimplemented),Managers bypass RBAC with manual grants; no tool questions scope,'Giving junior same access as senior. Start with onboarding set instead?',YES,Browser Extension,Okta/Azure AD (test) or GitHub org,"1. Open IAM/GitHub admin
2. Add user with elevated permissions
3. Verify over-provisioning vs role baseline
4. Standard onboarding test (should pass)","Test IAM: Junior (5 perms), Senior (15), Admin (25). New user to provision","≥80% over-provisioning detection, onboarding template suggestion",P1
41,Access Mgmt,Grant contractor access without expiry,"Manager, IT Admin",Give contractor full repo/prod access with no expiry date,"Adds contractor to GitHub org, write access all repos, no time limit",CRITICAL,5-10x/week,"T1098 (Account Manipulation)
T1136 (Create Account)","Atomic: T1136 (Create Account — local/domain)
Atomic: T1098 (Account Manipulation)
Caldera: Account creation + privilege assignment abilities",PAM (inconsistent),PAM covers privileged; contractors get regular access that's over-privileged without expiry,"'Contractor getting prod access, no expiry. Set 30-day auto-expire? Can request renewal.'",YES,Browser Extension,GitHub (test org) or Okta (test),"1. Open GitHub org settings
2. Invite external collaborator with full access
3. Verify: external identity, no expiry, broad scope detected
4. Test auto-expire suggestion flow",GitHub test org. External collaborator email. Expiry policy config (30/60/90 day defaults),"≥95% external identity detection, auto-expire shown for all contractor grants",P0
42,Authentication,Enter creds on phishing page,All roles,Enter corporate credentials on spoofed login page,"Clicks phishing link, enters corporate password on fake SSO page",CRITICAL,Constant,"T1056.003 (Web Portal Capture)
T1598 (Phishing for Information)","Atomic: T1056.003 (Web Portal Capture — credential harvesting page)
Atomic: T1598 (Phishing for Information)
Caldera: Custom phishing page + credential capture ability
Tool: GoPhish for phishing campaigns",Email security + URL filtering,Sophisticated phishing bypasses filters; no intervention at credential ENTRY moment,At entry: 'Entering corp password on login.company-secure.xyz. Real login is login.company.com. Stop?',YES,Browser Extension,Self-hosted phishing page (GoPhish or custom HTML),"1. Deploy test phishing page (GoPhish or HTML clone of corp SSO)
2. Navigate to page
3. Begin entering credentials
4. Verify extension intercepts at entry
5. Real corp login test (should pass)",GoPhish instance or self-hosted HTML. Test domain (login.company-test.xyz). Corp login whitelist. Non-functional test creds,"≥98% phishing domain detection, <0.5% FP on legit logins",P0
43,Authentication,Approve unexpected MFA push,All roles,Approve MFA push when not actively logging in (fatigue attack),"Gets push while not logging in, approves to stop buzzing",CRITICAL,Targeted,T1621 (Multi-Factor Authentication Request Generation),"Atomic: T1621 (MFA Request Generation — trigger push flood)
Caldera: Custom ability — trigger MFA push via IdP API
Tool: Evilginx2 for MFA relay testing",Phishing-resistant MFA,FIDO2/passkeys not universal; push MFA vulnerable to fatigue,'MFA push received but not logging in. Could be attacker. Deny and report?',YES,Mobile + Desktop Agent,Okta/Duo (test tenant),"1. Configure Okta/Duo with push MFA
2. Trigger push with no active login session
3. Verify agent detects unsolicited push
4. Measure deny vs approve with coaching
5. Legit MFA during login test (should pass)",Okta/Duo test tenant. Test user. Push trigger mechanism (Okta API),"≥90% unsolicited push detection, deny rate increases with coaching",P1
44,Social Engineering,Process BEC wire transfer,Finance,Process fraudulent wire from spoofed CEO/CFO email,Receives 'CEO' email requesting $50K wire; domain slightly misspelled,CRITICAL,1-5x/month,"T1566.001 (Phishing: Spearphishing Attachment)
T1534 (Internal Spearphishing)","Atomic: T1566.001 (Spearphishing with malicious attachment)
Caldera: Spearphishing abilities
Tool: GoPhish for BEC simulation
Custom: Payment-step cross-reference test",Email security (detection),Catches known BEC but misses novel; no intervention at PAYMENT step,At payment: 'Wire from ceo@company-group.com (not real domain). Verify by phone?',YES,Browser Ext + Email Plugin,"Banking portal (sandbox), corporate email, GoPhish","1. Send BEC email from spoofed domain
2. User goes to banking portal
3. Verify cross-reference: email origin → payment action
4. Legit wire request test (should pass)",Spoofed sender email. Banking sandbox. Corporate directory. Legit payment request for FP testing,≥85% BEC detection at payment step,P1
45,AI Agent/MCP,Connect MCP with broad permissions,Developer,Configure AI agent to MCP server with fs write + DB + API access,MCP server gives AI agent production database + filesystem write + API call permissions,CRITICAL,Growing fast,"T1059 (Command/Script Interpreter)
None specific for MCP (novel attack surface)","No standard Atomic/Caldera test — NOVEL attack surface
Custom: MCP config file permission scope parser
Custom: Least-privilege MCP configuration test
Caldera MCP plugin (github.com/mitre/caldera) — can be repurposed for defensive testing",None,No tool governs MCP connections or AI agent permission scope,At MCP connect: 'fs write + DB read + API call. Agent gets prod access. Limit to read-only?',YES,IDE Plugin + Desktop Agent,"Claude Desktop / Cursor (free), test MCP server (Node.js)","1. Create MCP server with broad permissions
2. Configure in Claude Desktop
3. Verify config detection + permission parsing
4. Present least-privilege recommendation
5. Read-only MCP test (should pass)",Test MCP server (Node.js). claude_desktop_config.json / .cursor config. Permission scope definitions,"≥90% MCP config detection, correct permission parsing, least-privilege suggestion",P0
46,AI Agent/MCP,AI agent accesses sensitive repos,Developer,AI coding assistant workspace includes repos with secrets/customer data/proprietary algos,"Cursor workspace has secret-infra, customer-data-pipeline, proprietary-ml-model repos",HIGH,Constant,T1213 (Data from Information Repositories),"Atomic: T1213 (Data from Repositories — SharePoint, Confluence)
Custom: AI workspace sensitivity scanner
Caldera: Repository enumeration abilities",None,No tool evaluates what data AI agents can see within workspace,'AI can see secret-infra (vault configs). Exclude sensitive repos from workspace?',YES,IDE Plugin,"VS Code / Cursor, GitHub repos (test)","1. Create workspace: public-docs, secret-infra, customer-data, ml-model
2. Open in Cursor
3. Verify plugin scans for sensitive repos
4. Present exclusion recommendations
5. Clean workspace test (should pass)","Git repos: public-docs (clean), secret-infra (vault), customer-data (PII), ml-model (proprietary)","≥85% sensitive repo detection, exclusion recommendations generated",P1
47,Config/Posture,Deploy insecure cloud resource,"DevOps, IT Admin","Terraform: public S3, open SG 0.0.0.0/0, unencrypted DB",terraform apply creates public S3 bucket + SSH open to internet,CRITICAL,5-20x/week,"T1190 (Exploit Public-Facing Application)
T1580 (Cloud Infrastructure Discovery)","Atomic: T1580 (Cloud Infrastructure Discovery — enumerate S3/EC2)
Caldera: Cloud plugin abilities
Custom: Terraform plan security scanner
Tool: Checkov/tfsec for IaC scanning benchmarks",CSPM (post-deploy),Finds misconfigs hours after deploy; expensive to fix in prod,Pre-deploy: 'Public S3 + open port 22. Fix before apply?',PARTIAL,IDE Plugin + CLI Hook,"AWS free tier / LocalStack, Terraform CLI","1. Create Terraform: public S3 + open SG
2. terraform plan
3. Verify CLI hook intercepts
4. Security assessment of planned resources
5. Secure config test (should pass)","Terraform configs: (a) public S3 + open SG, (b) encrypted S3 + restricted SG. LocalStack or AWS free tier","≥90% insecure resource detection in plan, warning before apply",P1
48,Config/Posture,Device: unencrypted/unpatched,All roles,"Work from device without disk encryption, outdated OS, disabled firewall","Personal laptop: no FileVault, macOS 3 months old, firewall off",MEDIUM,Persistent,"T1562.001 (Disable/Modify Tools — firewall)
T1082 (System Information Discovery)","Atomic: T1562.001 (Disable Windows Defender/firewall)
Atomic: T1082 (System Information Discovery — OS version check)
Caldera: Discovery abilities for system posture",MDM (managed only),MDM covers corp devices; BYOD posture limited,"At corp login: 'No encryption, OS 3mo old. Enable encryption and update?'",PARTIAL,Desktop Agent,None (local system checks),"1. Configure test device: no encryption, old OS, firewall off
2. Access corporate SaaS
3. Verify posture check at access
4. Remediation guidance shown
5. Compliant device test (should pass)","VM with configurable: encryption, OS version, firewall. Corporate SaaS URL whitelist","≥95% posture check at access, guided remediation per failed check",P2
49,Network,Access corp resources on public WiFi,All roles,"Connect to public WiFi, open Salesforce + email without VPN","Coffee shop WiFi, opens corporate apps, VPN not active",MEDIUM,20-50x/day,"T1040 (Network Sniffing)
T1557 (Adversary-in-the-Middle)","Atomic: T1040 (Network Sniffing — tcpdump, tshark)
Atomic: T1557 (AitM — ARP spoofing)
Caldera: Network discovery abilities
Custom: Network trust + VPN status check",VPN enforcement,VPN required but enforcement varies; split tunneling gaps,'Untrusted network. VPN not active. Connect VPN before work apps?',PARTIAL,Desktop Agent,Mobile hotspot or open WiFi AP,"1. Connect to open WiFi
2. Open corporate SaaS
3. Verify: untrusted network + no VPN + corp app detected
4. VPN prompt shown
5. Corp network test (should pass)",Mobile hotspot for untrusted. VPN client. Corporate SaaS URL list,"≥95% untrusted network detection, VPN prompt before corp data accessed",P2
50,Insider Threat,Pre-departure data hoarding,All roles,Download excessive data after giving notice,Downloads 500MB customer data + source code in 24hr after resignation,CRITICAL,Targeted,"T1005 (Data from Local System)
T1039 (Data from Network Shared Drive)
T1074 (Data Staged)","Atomic: T1005 (Data from Local System — find + stage sensitive files)
Atomic: T1039 (Data from Network Shared Drive — enumerate + copy)
Atomic: T1074 (Data Staged — stage collected data)
Caldera: Advanced Thief adversary profile (search → stage → compress → exfil)",DLP + UEBA (reactive),"UEBA detects days later; DLP misses USB, screenshots, personal cloud",'Download volume 15x baseline. Includes customer_database. Handover prep? Route to manager.',PARTIAL,Desktop Agent + Browser Ext,HR system integration (departure flag),"1. Establish baseline: normal ops
2. Trigger departure flag
3. Execute: 500MB sensitive files in 1hr
4. Verify: volume anomaly + sensitive types + departure context
5. Non-departure anomaly test (different context)",Baseline fixture. HR departure API/flag. 500MB synthetic data. Volume thresholds,"≥80% anomaly >3x baseline, departure context adds severity",P1
